,0
0x320646e7b37d5a31f5dcef9ccff9180eeb63b004,1.0
补充,1.0
分散,1.0
护照,1.0
知识,1.0
睡觉,1.0
睡前,1.0
分析,1.0
拖延,1.0
标签,1.0
信息,1.0
保号,1.0
爱尔兰,1.0
阅读,1.0
要点,1.0
材料,1.0
动态,1.0
dem,1.0
result,1.0
转化,1.0
上课,1.0
雅思考试,1.0
notion,1.0
展示,1.0
okr,1.0
untitled,1.0
annotation,1.0
定校,1.0
明天,0.859232616751494
分钟,0.8515878161597776
周报,0.8450853289081071
xmind,0.8450853289081071
词汇,0.8399853591139942
世界,0.835428130765088
一半,0.8340576562282991
卖掉,0.8315117333171191
自省,0.8283137991890807
开工,0.8232565390499933
离职,0.8232565390499933
贫穷,0.8208955318658138
marginnote,0.8084496008935365
适合,0.7950495615850405
宏观,0.792428342829267
出国,0.7808196658600809
方法,0.7760760056802155
习惯,0.7722285798095624
推荐人,0.7714782259579738
指数,0.7627808567577172
倒计时,0.7605071717051682
饮鸠止渴,0.7605071717051682
陈述,0.7605071717051682
辞职,0.7598847567186431
purpose,0.7559289460184544
雅思,0.7500570460886824
一大,0.7487193160702901
引入,0.7472150354752042
逃避,0.7472150354752042
冥想,0.7472150354752042
即时,0.7472150354752042
锻炼,0.7434363459260995
git,0.7385515030144025
式子,0.7385515030144025
双人,0.7303346082049851
api,0.7303346082049851
疯狂,0.7303346082049851
链接,0.7246637133255218
数据,0.7240578233133662
控制,0.7213973487703356
判断,0.7213973487703356
未知数,0.7192526704394895
设计,0.7148764165505537
思考,0.711470328665254
翻译,0.7071067811865476
居委会,0.7071067811865476
从句,0.7071067811865476
红猪,0.7071067811865476
id,0.7071067811865476
躲闪,0.7071067811865476
跑步机,0.7071067811865476
黄渡,0.7071067811865476
周生,0.7071067811865476
binance,0.7071067811865476
规整,0.7071067811865476
杂乱,0.7071067811865476
从段,0.7071067811865476
动画,0.7071067811865476
自信,0.7071067811865476
fake,0.7071067811865476
recover,0.7071067811865476
一步步,0.7071067811865476
如故,0.7071067811865476
cv,0.7071067811865475
商业,0.7071067811865475
政治立场,0.7071067811865475
nobility,0.7071067811865475
暴露,0.7071067811865475
精细化,0.7071067811865475
计划书,0.7071067811865475
时间,0.702716138585813
两个,0.6947485847885284
产物,0.6933092231091295
稳定,0.6925213824764768
喜欢,0.6893609553504109
注重,0.6891026792788328
理性,0.6830895695720078
申请,0.6830895695720078
游戏,0.6830895695720078
命题,0.679493135574802
highlight,0.6778310270112284
项目,0.6741970612477979
证明,0.6710995713035999
考试,0.6705788325815285
大脑,0.6688066981991501
本质,0.6674172601742205
有事,0.6664500427123669
情境,0.6655114002806378
平稳,0.6655114002806378
速记,0.664582343099626
一生,0.664582343099626
等价物,0.6644194955972473
听力,0.6613731379582332
ascii,0.6602686928696049
真题,0.6564792192911856
密度,0.6543900003708046
便签,0.6542089184892249
瑞士,0.6532410483261842
原因,0.6500578101266444
损失,0.6500199852196341
压制,0.6493295325064201
感觉,0.6493295325064201
局部,0.6477456994205578
表面,0.6448506854035642
渴望,0.644268737230209
压缩,0.6426045435276447
泛化,0.6426045435276447
还会,0.6375237894208806
简历,0.6375237894208806
并发,0.6375237894208806
变穷,0.6375237894208806
解放,0.6361273907274867
文笔,0.6361273907274866
丰满,0.6355817130416076
怀念,0.6355817130416076
工作,0.6353448044371706
弱读,0.6334809815590209
重读,0.6334809815590209
解决,0.630639384599029
代表,0.6301323011698325
pocket,0.6256145075129164
flomo,0.6256145075129164
排斥,0.6243725584647154
唯一,0.621438477875594
zhuanlan,0.619391806243779
zhihu,0.619391806243779
播放,0.6177615753245153
总论,0.6124650711705746
不写,0.6124650711705745
输入输出,0.6124650711705745
大事记,0.6124650711705745
态度,0.6124650711705745
文献,0.6120577864770395
显而易见,0.6108281010906577
动力,0.6108281010906577
足够,0.6108281010906577
纪源,0.6108281010906577
提示,0.6108281010906577
ggv,0.6108281010906577
艰难,0.610132595568347
量子,0.6085918561288586
因果性,0.6085918561288586
永远,0.6084811627976411
粗粒化,0.6079704657680113
掏粪,0.6064838560760237
哥德尔,0.6057678458336272
物理,0.6056915476085141
停滞,0.6053391264200335
人间,0.6053391264200335
缓慢,0.6053391264200335
奢侈,0.6053391264200335
疏导,0.6053391264200335
优于,0.6053391264200335
感动,0.6031355657828844
购买,0.603065325656435
sticky,0.6020341665461695
notes,0.6020341665461695
对抗性,0.6000001935634286
算命,0.5991014735676042
工作量,0.5985712361530288
常数,0.5985712361530288
汇报,0.5985712361530288
物理性质,0.5985712361530288
原始,0.5985712361530288
散步,0.5985712361530288
自由度,0.5985712361530288
绿色,0.5985712361530288
追问,0.5985712361530287
究其,0.5985712361530287
事物,0.5966067899567016
生存,0.5927489543394343
完整,0.5912921277995394
distribution,0.5897877666693818
内卷,0.5897877666693818
onion,0.5897877666693818
播客,0.5897877666693818
马列主义,0.5897877666693818
每分钟,0.5897877666693818
放慢,0.5897877666693818
歌词,0.5897877666693818
格式文件,0.5897877666693818
generalization,0.5897877666693818
vs,0.5897877666693818
图片,0.5897877666693818
变本加厉,0.5897877666693818
3wcwjjnuvjyazeza,0.5897877666693818
喜马拉雅,0.5897877666693818
rap,0.5897877666693818
输入,0.5894392740415513
积累,0.5894392740415513
学习,0.5885654108211607
安装,0.5867890698793472
ppa,0.5867890698793472
家庭,0.5867890698793472
对话,0.5867192225011518
弃用,0.5851437681494288
北欧,0.581000710497451
存活,0.5782745272412004
森林,0.5782745272412004
高分,0.5773502691896257
sample,0.5773502691896257
心脏病,0.5773502691896257
桌游,0.5773502691896257
德国,0.5773502691896257
毛主席,0.5773502691896257
口语,0.5773502691896257
借用,0.5773502691896257
一句,0.5773502691896257
fact,0.5773075037584755
规律,0.5759687708912222
时举,0.5750923253629465
项目管理,0.5730662390708731
扩展,0.572844963313545
冲突,0.5728449633135448
发财,0.5728449633135448
作者,0.5728449633135448
优秀,0.5728449633135448
只能,0.571787961296074
生命,0.5709705992190263
感知,0.5706736713711201
应有,0.5706736713711201
英语,0.5699672159931559
财富,0.5657796106453661
无关,0.5657796106453661
精力,0.5655706476935587
听到,0.5651412972153168
google,0.5640532833832713
voice,0.5640532833832713
java,0.5579938843215587
系统,0.5560354977599895
太强,0.5552124602434794
text,0.5545753945700466
liquid,0.5545753945700466
选取,0.5540341901503953
倒推,0.5540341901503953
简单,0.5523791129602371
呼吸,0.5516346441026755
http,0.5516346441026755
pdf,0.5516346441026755
马克思主义,0.5516346441026755
基金,0.5516346441026755
生成,0.5516346441026755
形形色色,0.5495997073565004
工具,0.5488624615136042
坏习惯,0.5487903709619584
困难,0.5487903709619584
能力,0.5461591192419399
食品,0.5454838319643954
例子,0.54473404942442
观点,0.5447340494244199
阿富汗,0.5447340494244199
平衡,0.5447340494244199
核心,0.5435207964846284
说完,0.5422504116209312
社会,0.5407793734966104
模仿,0.5398500276199323
要说,0.5398500276199323
10,0.5367336066410399
90,0.5367336066410399
格式,0.5359948250915985
笔记,0.5323766998098906
记录,0.5323766998098906
宇宙,0.5323766998098906
倒霉事,0.5314440408502564
清晰,0.5303735093358787
规程,0.5303735093358787
想要,0.528984120367908
星座,0.5284807277888384
风暴,0.5283608185890637
思路,0.5283608185890637
业务,0.5256136558134685
回音,0.5246394995849871
人类,0.5246287972883469
输出,0.5246287972883469
人脑,0.5244241348499585
自我,0.5241826413884044
语中,0.5222904187104119
源包,0.5222904187104119
跟着,0.5222904187104119
环境,0.5222904187104119
有意识,0.5222904187104119
普什图,0.5222904187104119
精力有限,0.5196001342604137
冲动,0.519295999707419
定理,0.5181953057709812
远点,0.5178502427009676
朱玥,0.5178502427009676
不幸,0.5178502427009676
知识分子,0.5164245539969653
代码,0.5164245539969653
癫狂,0.5164245539969653
提交,0.5164245539969653
勇敢,0.5164245539969653
失败,0.5164245539969653
摩擦,0.51375657911886
风景,0.5131554393389884
函数,0.5093309830119729
延续,0.5080132522226724
manner,0.5080132522226724
平台,0.5080132522226724
社交,0.5080132522226724
条件,0.5080132522226724
similarly,0.5080132522226724
comparison,0.5080132522226724
必需,0.5080132522226724
gab,0.5080132522226724
网是,0.506497960035444
因果,0.506497960035444
用户,0.5061152779895055
资本,0.5037638949309116
奖励,0.5037638949309116
管理,0.5030255661190203
独有,0.5025378909953901
多问,0.5020457250127657
特征,0.5
辨析,0.5
甘州,0.5
saxe,0.5
获罪,0.5
双胞胎,0.5
单词,0.5
问答,0.5
计算机,0.5
批判,0.5
指纹,0.5
iclr2018,0.5
因言,0.5
清除,0.5
区委,0.5
张掖市,0.5
音型,0.5
andrew,0.5
知乎,0.5
组织部,0.5
稳固,0.49973827911736607
奴工,0.49973827911736607
抽象,0.49868935032663364
合适,0.49694278398799474
memo,0.49694278398799474
分布,0.49630535638649514
文字,0.49606387008700403
深网,0.4940382855400071
论文,0.4932462512807555
分配,0.4921818508418016
统治者,0.4921818508418016
字符,0.49201533804973974
快餐,0.4905723522449285
浏览,0.4905723522449285
cnblogs,0.48860910699337523
sabre,0.48860910699337523
product,0.4886091069933752
zhanghao1688,0.4886091069933752
学生,0.4885036711944275
物业,0.48676048171981146
看作,0.48662743209761217
研究,0.48550417833749393
羊群,0.4848681464952723
一种,0.4833707959836867
做成,0.4830172668021667
愚蠢,0.4830172668021667
保存,0.4830172668021667
追求,0.4830172668021667
荒谬,0.4830172668021667
https,0.4823977412013222
深刻,0.48052188209680113
印象,0.48052188209680113
精听,0.4801493268264918
对外,0.47701034022112887
全天,0.47701034022112887
被删,0.47701034022112887
访问,0.47701034022112887
类比,0.47701034022112887
理智,0.47701034022112887
购买力,0.4753646039500985
likewise,0.4751500886019391
审查,0.4751500886019391
活动,0.4751500886019391
回头,0.47512619221470204
篇文章,0.47512619221470204
owing,0.475046736105185
due,0.475046736105185
account,0.475046736105185
解释,0.47429178397723193
自控力,0.4740466108206562
几遍,0.4729191174799005
熟悉,0.4729191174799005
音档,0.4729191174799005
抱团,0.4728212432579127
现实,0.4726729376771449
削减,0.47252918116776005
关系不大,0.47252918116776005
lay,0.47144525901181
手机号,0.47144525901181
整理,0.4699306814625904
头脑,0.4699306814625904
功能,0.46956859821735597
关注,0.46956859821735597
写下,0.46855122635262797
任何人,0.46855122635262797
浏览器,0.46855122635262797
bhe,0.46855122635262797
检查,0.46855122635262797
满足感,0.46855122635262797
小区,0.4652842868452811
塔利班,0.4645315923337958
长夜,0.4642280182536145
属实,0.4642280182536145
难熬,0.4642280182536145
睡眠,0.4642280182536145
微观,0.4641995716231743
相比,0.4632100296595964
剥削者,0.4632100296595964
不记,0.46295006075907846
导入,0.46295006075907846
微博,0.46295006075907846
整体,0.4609274860162932
东西,0.45943375766867944
催眠,0.4588502488308928
markdown,0.4588502488308928
依然,0.4588502488308928
发表,0.4588502488308928
尘埃落定,0.4588502488308928
草稿,0.4588502488308928
批注,0.4588374331082785
遗忘,0.458719225869461
tishby,0.458719225869461
领域,0.4585269268235473
得罪,0.4579691614142875
数学模型,0.452919845068763
lz,0.452919845068763
国产,0.452919845068763
支脉,0.452919845068763
支架,0.452919845068763
撑开,0.452919845068763
address,0.452919845068763
指向,0.452919845068763
冠状,0.452919845068763
上供,0.452919845068763
网状,0.452919845068763
usdt,0.452919845068763
工业,0.452919845068763
自指,0.452919845068763
没法,0.452919845068763
etc20,0.452919845068763
心脏,0.452919845068763
建模,0.452919845068763
跳过,0.452919845068763
tether,0.452919845068763
english,0.4504265236008331
寡而患,0.44982430965903913
不均,0.44982430965903913
不患,0.44982430965903913
签约,0.447213595499958
苟有,0.447213595499958
十日,0.447213595499958
一日,0.447213595499958
营业执照,0.447213595499958
无益,0.447213595499958
留学,0.447213595499958
必带,0.447213595499958
合同,0.447213595499958
五更,0.447213595499958
公开,0.446152741938245
有限,0.446152741938245
可测,0.44547856142031556
金字塔,0.44447343897620906
仔细,0.4443904786738991
一遍,0.4443904786738991
服务,0.4443461085213709
农场,0.44333184373287343
复苏,0.44333184373287343
小农经济,0.44333184373287343
某事,0.442996885650588
带来,0.4421463314375084
奢侈品,0.4419614671793056
中产,0.4419614671793056
选校,0.4417757949008971
详细,0.4417757949008971
被迫,0.44102414492618114
屈辱,0.44102414492618114
悲惨,0.44102414492618114
gmail,0.4409476634917366
eit,0.4409476634917366
back,0.4409476634917366
转移,0.4409476634917366
账户,0.4409476634917366
apikey,0.4407710392776641
zh,0.4407710392776641
混淆,0.4395106328737612
因子,0.4395106328737612
互联网,0.4394037938172557
原音,0.4393377940051009
一股脑儿,0.4393377940051009
束缚,0.4387230988088434
生活,0.43825993667479013
延迟,0.4382408445880744
历史记录,0.4382408445880744
根本无法,0.436412670790951
瓶颈,0.43507190594849554
复杂度,0.43507190594849554
准确度,0.43507190594849554
最优化,0.43507190594849554
www,0.4345750149138278
html,0.4345750149138278
qed,0.43425472249236463
惰性,0.4341238596362718
愉悦,0.4341238596362718
多媒体信息,0.4341238596362718
境界,0.43337294632122697
片段,0.43300201604097455
孩子,0.43297074325772683
奖学金,0.4297163455549061
荷兰,0.4297163455549061
真的,0.42916741922208124
阶段,0.42916741922208124
时事政治,0.4283433289798791
lowkey,0.42643158127013875
更强,0.42643158127013875
附加,0.4248337670910036
additionaly,0.4248337670910036
addition,0.4248337670910036
体系,0.4242589275325516
血管,0.42362065078505207
huobi,0.42362065078505207
错误,0.42362065078505207
自由,0.42321101855794385
轮回,0.42282706717073903
转世,0.42282706717073903
native,0.4224338587258885
就够,0.4224338587258885
听懂,0.4224338587258885
speaker,0.4224338587258885
生产,0.421658882645648
手段,0.421658882645648
intensification,0.421658882645648
event,0.421658882645648
幸福,0.421658882645648
truth,0.421658882645648
声音,0.42062014315801227
压力,0.42053309260805066
武装,0.4192017361298236
心理,0.4180874575114434
ube49d2f32a,0.41704292927278913
netzero,0.41704292927278913
uzziahwtsoflg,0.41704292927278913
tibdnf53360,0.41704292927278913
服从,0.41692931370229513
道尔,0.4157619510548236
过往,0.415547979307054
细节,0.415547979307054
中途,0.415547979307054
不确定性,0.415547979307054
起源,0.415547979307054
残忍,0.415547979307054
测量,0.415547979307054
命运,0.415547979307054
有迹可循,0.415547979307054
是从,0.415547979307054
可能性,0.41465289322295884
关心,0.41433960343813625
牺牲,0.41433960343813625
协议,0.41319750453546367
内容,0.4126940613676343
contrast,0.41257532508872624
第一遍,0.41257532508872624
contrary,0.41257532508872624
第一点,0.41257532508872624
原文,0.41257532508872624
perspective,0.41257532508872624
千万,0.41257532508872624
字幕,0.41257532508872624
hand,0.41257532508872624
转折,0.41257532508872624
cn,0.412257746130907
利润,0.41198475973204285
基因突变,0.4114589386542733
好坏,0.4114589386542733
突发事件,0.4114589386542733
驱动,0.4114589386542733
股价,0.41107887488715755
消除,0.41107887488715755
增长,0.41107887488715755
自动,0.41091721689221655
句子,0.41091721689221655
太久,0.40854560581982813
失衡,0.40854560581982813
强化,0.40854560581982813
单复数,0.408248290463863
期待,0.408248290463863
重视,0.408248290463863
值得,0.408248290463863
大小写,0.408248290463863
渐长,0.408248290463863
无所谓,0.408248290463863
年纪,0.408248290463863
缩写,0.408248290463863
体验,0.408248290463863
泪流满面,0.408248290463863
冠词,0.408248290463863
资源,0.40818131866851093
关键,0.407990583004388
支持,0.40732346635198025
信任,0.407315237295892
合伙人,0.407315237295892
结构,0.4072767657431009
政治,0.4072767657431009
找到,0.4061629671377475
证真,0.4061629671377475
回顾,0.4061623768352311
脑海,0.4061623768352311
things,0.4061623768352311
专注,0.40605580985976175
接收,0.4060405697447757
重夺,0.40601716176547625
主动权,0.40601716176547625
疲于奔命,0.40601716176547625
劳动,0.40568459365150783
培养,0.4053382326962541
底层,0.40345070200370603
复述,0.4022788435833545
确保,0.4022788435833545
西方,0.4003959214590821
转成,0.4002973177846174
字符串,0.4002973177846174
二度,0.3992441733525917
fawkes,0.39884590163084854
攻击,0.39884590163084854
法务,0.3975503129751554
财务,0.3975503129751554
人力资源,0.3975503129751554
小组,0.3975503129751554
time,0.3973514493789362
多媒体,0.39544373239783626
首选,0.39544373239783626
笔记本,0.39544373239783626
粗糙,0.39544373239783626
刺激,0.3943819468730243
case,0.3943819468730243
构建,0.3943819468730243
概念,0.3943819468730243
之物,0.39436828214239833
添置,0.39436828214239833
无用,0.39436828214239833
反衬,0.39436828214239833
表达,0.39400693812895654
清单,0.3929208848336682
文章,0.3925211742087054
虚度光阴,0.3922557359740405
确信,0.3922557359740405
恐惧,0.3922557359740405
理解,0.39184742932815275
一模一样,0.3907524965239004
对错,0.3905481139273965
橙汁,0.3905481139273965
椰汁,0.3905481139273965
net,0.39006459758242956
外部,0.38994648524582276
三者,0.38932348683583884
数据库,0.38932348683583884
整合,0.38932348683583884
point,0.38915149666617055
目标,0.38642490471639684
证伪,0.386231549519764
短期,0.38611515846846306
水星,0.3860582857772685
一点,0.38588600083400176
随机性,0.3849112660409691
梯度,0.3849112660409691
随机,0.3849112660409691
sgd,0.3849112660409691
下降,0.3849112660409691
同一个,0.38373498264507644
变奏,0.38373498264507644
母题,0.38373498264507644
导演,0.38373498264507644
作品,0.38373498264507644
围绕,0.38373498264507644
同花顺,0.3823138997517147
几百万,0.3823138997517147
空洞,0.3823138997517147
图谱,0.3823138997517147
三元组,0.3823138997517147
建议,0.3821950606433761
ip,0.3813904283788586
绑定,0.3813904283788586
好股,0.3813904283788586
全选,0.3813904283788586
修改,0.3813904283788586
权限,0.3813904283788586
个股,0.3813904283788586
创建,0.3813904283788586
day,0.3798879035058001
order,0.3779644730092272
mind,0.3779644730092272
end,0.3779644730092272
收藏,0.3775189848227243
成果,0.3774452940220193
列宁主义,0.3774452940220193
沟通,0.3762555943866101
正确,0.3762555943866101
对接,0.3762555943866101
解体,0.37449447770261773
手写,0.3734172356967219
或者说,0.3726140213368361
参与,0.3726140213368361
品牌,0.3718329504346804
ubuntu,0.37081754805107636
websiteforstudents,0.37081754805107636
oracle,0.37081754805107636
jdk,0.37081754805107636
install,0.37081754805107636
很准,0.37050192773518614
忽略,0.3695935395392097
上游,0.3692271302156493
良田,0.3692271302156493
大河,0.3692271302156493
灌溉,0.3692271302156493
溪流,0.3692271302156493
涓涓,0.3692271302156493
寻找,0.3688567638381624
有用,0.3688567638381624
留下,0.366949855057775
铲除,0.366949855057775
未来,0.36688087739291875
拼命,0.36688087739291875
遗憾,0.36688087739291875
消耗,0.36688087739291875
改变,0.3659566959412669
方式,0.36534965591650487
存档,0.3641383142181912
流放,0.3637290278043982
付出,0.36336554149519323
市场,0.3612929166393415
成年人,0.3611167119156749
压榨,0.36049147550577787
管控,0.36049147550577787
劳动者,0.36049147550577787
暴政,0.36049147550577787
依赖于,0.3600115181308034
